,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,maid_room,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet,num_venues,venue_senti,num_stations
0,NAKHLAT JUMEIRA,25.113208,55.138932,2700000,1079,2502.32,1,2,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,99,8.488888888888889,0
1,NAKHLAT JUMEIRA,25.106809,55.151201,2850000,1582,1801.52,2,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,99,8.488888888888889,0
2,AL THANYAH FIFTH,25.063302,55.137728,1150000,1951,589.44,3,5,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,51,8.21764705882353,2
3,AL JADAF,25.227295,55.341761,2850000,2020,1410.89,2,3,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8.0,1
4,NAKHLAT JUMEIRA,25.114275,55.139764,1729200,507,3410.65,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,99,8.488888888888889,0
5,NAKHLAT JUMEIRA,25.114275,55.139764,3119900,1015,3073.79,1,2,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,99,8.488888888888889,0
6,NAKHLAT JUMEIRA,25.114275,55.139764,8503600,2062,4123.96,2,3,2,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,99,8.488888888888889,0
7,NAKHLAT JUMEIRA,25.114275,55.139764,3119900,1015,3073.79,1,2,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,99,8.488888888888889,0
8,NAKHLAT JUMEIRA,25.106668,55.149275,2100000,2186,960.66,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
9,BURJ KHALIFA,25.194935,55.282665,2690000,1521,1768.57,2,3,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100,8.701,1
10,BURJ KHALIFA,25.198796,55.271342,3550000,1918,1850.89,3,4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100,8.701,1
11,MARSA DUBAI,25.075017000000003,55.137997,2094999,1058,1980.15,2,3,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,100,8.448,0
12,MARSA DUBAI,25.075017000000003,55.137997,1049999,609,1724.14,1,2,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,100,8.448,0
13,NAKHLAT JUMEIRA,25.132519,55.151574,1849000,1071,1726.42,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,99,8.488888888888889,0
14,NAKHLAT JUMEIRA,25.132445,55.152216,2089999,1051,1988.58,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,99,8.488888888888889,0
15,NAKHLAT JUMEIRA,25.132021,55.151405,2349990,1109,2119.02,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,99,8.488888888888889,0
16,NAKHLAT JUMEIRA,25.132021,55.151405,3499000,1633,2142.68,2,2,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,99,8.488888888888889,0
17,BURJ KHALIFA,25.198316,55.270758,2700000,1348,2002.97,2,3,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,8.701,1
18,BURJ KHALIFA,25.19702,55.271023,1490000,1167,1276.78,2,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,100,8.701,1
19,BUSINESS BAY,25.180301,55.263892000000006,950000,894,1062.64,1,2,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,43,8.518604651162791,1
20,MARSA DUBAI,25.072396,55.132386,1100000,985,1116.75,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,100,8.448,0
21,MARSA DUBAI,25.079783,55.13904599999999,1390000,1307,1063.5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
22,BURJ KHALIFA,25.197316,55.274196,3999900,2323,1721.87,3,4,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,100,8.701,1
23,MARSA DUBAI,25.08377,55.145075,3349000,3930,852.16,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
24,NAKHLAT JUMEIRA,25.132021,55.151405,8470000,5232,1618.88,3,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,99,8.488888888888889,0
25,MARSA DUBAI,25.084331,55.141679,2499000,2490,1003.61,3,4,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,100,8.448,0
26,BURJ KHALIFA,25.194282,55.271884,2800000,1712,1635.51,2,3,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,100,8.701,1
27,MARSA DUBAI,25.074958,55.138542,8500000,5079,1673.56,4,4,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100,8.448,0
28,BURJ KHALIFA,25.191719,55.270677,1875000,1543,1215.17,2,3,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,8.701,1
29,BURJ KHALIFA,25.190044,55.277388,1275000,938,1359.28,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
30,AL KIFAF,25.233787,55.294217,1465777,999,1467.24,1,2,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,3,8.466666666666667,1
31,NAKHLAT JUMEIRA,25.106809,55.151201,1260000,1646,765.49,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
32,NADD AL SHIBA FIRST,25.158305,55.296535,1386795,1084,1279.33,2,3,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,8.754545454545454,0
33,AL JADAF,25.227295,55.341761,4500000,3048,1476.38,2,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,18,8.0,1
34,AL BARSHA SOUTH THIRD,25.06031,55.241403000000005,750000,796,942.21,1,1,2,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,2,8.5,0
35,AL BARSHA SOUTH THIRD,25.06031,55.241403000000005,991000,1162,852.84,2,2,2,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,2,8.5,0
36,MARSA DUBAI,25.07359,55.126352,3599999,1966,1831.13,3,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
37,MARSA DUBAI,25.075017000000003,55.137997,2625000,1786,1469.76,3,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,100,8.448,0
38,AL KHEERAN FIRST,25.204631,55.343457,1270000,900,1411.11,1,2,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,8.6,0
39,AL KHEERAN FIRST,25.206345,55.345142,1398000,1168,1196.92,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.6,0
40,MARSA DUBAI,25.074439,55.133386,1795000,1002,1791.42,1,2,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100,8.448,0
41,BURJ KHALIFA,25.190275,55.278378,1600000,1221,1310.4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
42,NAKHLAT JUMEIRA,25.114333,55.13750600000001,1050000,549,1912.57,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,99,8.488888888888889,0
43,AL THANYAH THIRD,25.091487,55.172015,1150000,1133,1015.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7.825,1
44,AL WASL,25.200221,55.264588,1800000,1191,1511.34,1,2,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,45,8.72888888888889,0
45,JABAL ALI FIRST,25.02985,55.15156,1349999,1861,725.42,3,4,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,49,7.887755102040816,2
46,AL KHEERAN FIRST,25.20573,55.34511,1800000,1582,1137.8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.6,0
47,BUSINESS BAY,25.185337,55.2763,2353146,1168,2014.68,2,3,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,43,8.518604651162791,1
48,MARSA DUBAI,25.089393,55.147796,2800000,3172,882.72,4,5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
49,AL HEBIAH THIRD,25.016736,55.25101,365000,451,809.31,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,8.1,0
